industry,keyword,count
Unknown,data,92
Unknown,financial,71
Unknown,analysis,43
Unknown,experience,41
Unknown,business,36
Unknown,support,30
Unknown,skills,28
Unknown,strong,26
Unknown,performance,24
Unknown,management,22
Unknown,reporting,20
Unknown,advanced,18
Unknown,tools,18
Unknown,analyst,17
Unknown,planning,17
Unknown,analyze,16
Unknown,years,16
Unknown,supply,16
Unknown,excel,15
Unknown,key,15
Unknown,marketing,15
Unknown,teams,14
Unknown,power,14
Unknown,ability,14
Unknown,dashboards,13
Unknown,analytical,13
Unknown,role,13
Unknown,complex,13
Unknown,related,13
Unknown,communication,13
